split,fn,hfov,n_surf,count
train,9.75,8.5,9,70
val,9.75,8.5,9,15
test,9.75,8.5,9,15
train,9.75,8.5,11,70
val,9.75,8.5,11,15
test,9.75,8.5,11,15
train,9.75,9.0,9,70
val,9.75,9.0,9,15
test,9.75,9.0,9,15
train,9.75,9.0,11,70
val,9.75,9.0,11,15
test,9.75,9.0,11,15
train,9.75,9.5,9,70
val,9.75,9.5,9,15
test,9.75,9.5,9,15
train,9.75,9.5,11,70
val,9.75,9.5,11,15
test,9.75,9.5,11,15
train,9.75,10.0,9,70
val,9.75,10.0,9,15
test,9.75,10.0,9,15
train,9.75,10.0,11,70
val,9.75,10.0,11,15
test,9.75,10.0,11,15
train,11.3,8.5,9,70
val,11.3,8.5,9,15
test,11.3,8.5,9,15
train,11.3,8.5,11,70
val,11.3,8.5,11,15
test,11.3,8.5,11,15
train,11.3,9.0,9,70
val,11.3,9.0,9,15
test,11.3,9.0,9,15
train,11.3,9.0,11,70
val,11.3,9.0,11,15
test,11.3,9.0,11,15
train,11.3,9.5,9,70
val,11.3,9.5,9,15
test,11.3,9.5,9,15
train,11.3,9.5,11,70
val,11.3,9.5,11,15
test,11.3,9.5,11,15
train,11.3,10.0,9,70
val,11.3,10.0,9,15
test,11.3,10.0,9,15
train,11.3,10.0,11,70
val,11.3,10.0,11,15
test,11.3,10.0,11,15
train,12.85,8.5,9,70
val,12.85,8.5,9,15
test,12.85,8.5,9,15
train,12.85,8.5,11,70
val,12.85,8.5,11,15
test,12.85,8.5,11,15
train,12.85,9.0,9,70
val,12.85,9.0,9,15
test,12.85,9.0,9,15
train,12.85,9.0,11,70
val,12.85,9.0,11,15
test,12.85,9.0,11,15
train,12.85,9.5,9,70
val,12.85,9.5,9,15
test,12.85,9.5,9,15
train,12.85,9.5,11,70
val,12.85,9.5,11,15
test,12.85,9.5,11,15
train,12.85,10.0,9,70
val,12.85,10.0,9,15
test,12.85,10.0,9,15
train,12.85,10.0,11,70
val,12.85,10.0,11,15
test,12.85,10.0,11,15
train,14.4,8.5,9,70
val,14.4,8.5,9,15
test,14.4,8.5,9,15
train,14.4,8.5,11,70
val,14.4,8.5,11,15
test,14.4,8.5,11,15
train,14.4,9.0,9,70
val,14.4,9.0,9,15
test,14.4,9.0,9,15
train,14.4,9.0,11,70
val,14.4,9.0,11,15
test,14.4,9.0,11,15
train,14.4,9.5,9,70
val,14.4,9.5,9,15
test,14.4,9.5,9,15
train,14.4,9.5,11,70
val,14.4,9.5,11,15
test,14.4,9.5,11,15
train,14.4,10.0,9,70
val,14.4,10.0,9,15
test,14.4,10.0,9,15
train,14.4,10.0,11,70
val,14.4,10.0,11,15
test,14.4,10.0,11,15
train,15.95,8.5,9,70
val,15.95,8.5,9,15
test,15.95,8.5,9,15
train,15.95,8.5,11,70
val,15.95,8.5,11,15
test,15.95,8.5,11,15
train,15.95,9.0,9,70
val,15.95,9.0,9,15
test,15.95,9.0,9,15
train,15.95,9.0,11,70
val,15.95,9.0,11,15
test,15.95,9.0,11,15
train,15.95,9.5,9,70
val,15.95,9.5,9,15
test,15.95,9.5,9,15
train,15.95,9.5,11,70
val,15.95,9.5,11,15
test,15.95,9.5,11,15
train,15.95,10.0,9,70
val,15.95,10.0,9,15
test,15.95,10.0,9,15
train,15.95,10.0,11,70
val,15.95,10.0,11,15
test,15.95,10.0,11,15
train,17.5,8.5,9,70
val,17.5,8.5,9,15
test,17.5,8.5,9,15
train,17.5,8.5,11,70
val,17.5,8.5,11,15
test,17.5,8.5,11,15
train,17.5,9.0,9,70
val,17.5,9.0,9,15
test,17.5,9.0,9,15
train,17.5,9.0,11,70
val,17.5,9.0,11,15
test,17.5,9.0,11,15
train,17.5,9.5,9,70
val,17.5,9.5,9,15
test,17.5,9.5,9,15
train,17.5,9.5,11,70
val,17.5,9.5,11,15
test,17.5,9.5,11,15
train,17.5,10.0,9,70
val,17.5,10.0,9,15
test,17.5,10.0,9,15
train,17.5,10.0,11,70
val,17.5,10.0,11,15
test,17.5,10.0,11,15
